SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
5.25139772332907,3.3155669351644748,1.573921184021132,0.4711275717609902,Iris-setosa
4.982686980644741,3.375359162511613,1.2452421601792854,-0.0489309406622834,Iris-setosa
4.344255950219145,3.499208862297837,1.4308731312708116,0.188883065817909,Iris-setosa
4.655993725263964,2.874902190540325,1.9891503959233652,0.22584423639504553,Iris-setosa
5.021878958920978,3.7451533247797384,1.4962018463473425,0.24477680485582629,Iris-setosa
5.241905108910938,3.994293671427199,2.0764048992950066,0.6690840092309955,Iris-setosa
4.918637325327879,3.297756864713763,1.2020790359482838,0.27484261598007037,Iris-setosa
5.011144982457739,3.6188383036941896,1.1615070740570361,0.5059100638921228,Iris-setosa
4.368398420284202,2.814623786010516,1.1975791249479664,-0.1309713343731539,Iris-setosa
5.064634116792384,3.114663593437681,1.2420078200517892,-0.15901575441272323,Iris-setosa
5.3328430601419745,4.0338043050578785,1.448081729727279,-0.10062859062362123,Iris-setosa
4.750851387182811,3.345455286050466,1.0606226714116858,0.18914102669643756,Iris-setosa
4.753813093958264,3.1392412729626837,1.769791218989069,0.3253130059095515,Iris-setosa
4.2462222618890335,2.7786948182516658,1.6146719606499722,0.11184368680289766,Iris-setosa
5.802785858382589,3.9951749825779994,1.239616952153571,0.1711279176152115,Iris-setosa
5.585267598623953,4.290628211751922,1.4934493459568003,0.291315045773247,Iris-setosa
5.257430843464568,3.921286045538379,1.249004556515829,0.7007985977165377,Iris-setosa
4.569806038321397,3.7183013703844923,1.6492170384995257,-0.11467804648162994,Iris-setosa
5.63146248118393,3.7257118268008416,1.4184976610564357,0.1444366624818249,Iris-setosa
4.877884830906834,4.150454088684724,1.6871356786294922,0.5543110189988317,Iris-setosa
5.544334412808648,3.174189645756554,1.5950959467440453,0.2978749122455836,Iris-setosa
4.855574438221611,3.842599686034478,1.451934920368373,0.3250358384900805,Iris-setosa
4.742191993640698,3.688852662297208,0.927806766836184,0.43186596067284966,Iris-setosa
4.8837873344800204,3.4231871213888527,1.8186202515936767,0.43809071213720197,Iris-setosa
4.865226604448424,3.1497772847229393,2.08480540384138,0.16301957271140222,Iris-setosa
4.895455395896192,3.209801845167378,1.4591312618914483,-0.08169225927271195,Iris-setosa
4.688674165295219,3.5212019902691276,1.3439141295007435,0.750958836396873,Iris-setosa
4.783614118423256,3.8392912736580076,1.5422034934405238,0.18065737762592154,Iris-setosa
5.09101618263821,3.479827222870414,1.3924730595150303,0.42066037640330434,Iris-setosa
4.722845529732408,3.2300603522923756,1.5272775575572288,0.18861087525578651,Iris-setosa
4.861560353778412,2.757966321468675,1.3303629155788574,0.348652818804543,Iris-setosa
5.434173087625589,3.363203332729464,1.5036867866130785,0.46951634107233425,Iris-setosa
5.092048063938128,3.944339054919537,1.5391690510195364,-0.09567455552300641,Iris-setosa
5.581650551142895,3.859483279152432,1.6058311274651287,0.2945194964826086,Iris-setosa
4.951205946862776,3.2965381967891028,1.8330948888925154,0.3028740130036261,Iris-setosa
4.631825153733671,2.9440846066528596,1.075036284460864,0.20521821004216678,Iris-setosa
